Dataset,ActualValue,PredictedValue,ActualRegime,PredictedRegime
Primary_Internal_Test,35,42.24027,Normal,Normal
Primary_Internal_Test,7,30.27935,Normal,Normal
Primary_Internal_Test,0,2.31594,Critical_Low,Normal
Primary_Internal_Test,0,2.31594,Critical_Low,Normal
Primary_Internal_Test,0,2.3943737,Critical_Low,Normal
Primary_Internal_Test,0,2.3943737,Critical_Low,Normal
Primary_Internal_Test,0,2.3943737,Critical_Low,Normal
Primary_Internal_Test,0,2.3943737,Critical_Low,Normal
Primary_Internal_Test,0,2.4816394,Critical_Low,Normal
Primary_Internal_Test,0,2.4816394,Critical_Low,Normal
Primary_Internal_Test,0,2.4816394,Critical_Low,Normal
Primary_Internal_Test,0,2.4816394,Critical_Low,Normal
Primary_Internal_Test,0,-0.36682993,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.36682993,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.36682993,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.36682993,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.84621245,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.84621245,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.84621245,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.84621245,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.9368598,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.9368598,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.9368598,Critical_Low,Critical_Low
Primary_Internal_Test,0,-0.9368598,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,-1.1168517,Critical_Low,Critical_Low
Primary_Internal_Test,0,1.9651698,Critical_Low,Normal
Primary_Internal_Test,27,24.67262,Normal,Normal
Primary_Internal_Test,62,63.76061,Normal,Normal
Primary_Internal_Test,113,67.27553,Normal,Normal
Primary_Internal_Test,129,98.78866,Normal,Normal
Primary_Internal_Test,136,159.17941,Normal,Normal
Primary_Internal_Test,213,186.92342,Normal,Normal
Primary_Internal_Test,371,215.41023,High,Normal
Primary_Internal_Test,365,297.98264,High,Normal
Primary_Internal_Test,314,388.92194,Normal,High
Primary_Internal_Test,653,398.0933,High,High
Primary_Internal_Test,655,399.51697,High,High
Primary_Internal_Test,660,468.46017,High,High
Primary_Internal_Test,650,809.02313,High,High
Primary_Internal_Test,784,853.7518,High,High
Primary_Internal_Test,1059,1051.0134,High,High
Primary_Internal_Test,1351,1236.7129,High,High
Primary_Internal_Test,1753,1568.7719,High,High
Primary_Internal_Test,2309,1677.7548,High,High
Primary_Internal_Test,2623,1920.7671,Surplus,High
Primary_Internal_Test,1921,2194.8564,High,High
Primary_Internal_Test,1929,2674.0127,High,Surplus
Primary_Internal_Test,2316,2910.9236,Surplus,Surplus
Primary_Internal_Test,2777,3145.5945,Surplus,Surplus
Primary_Internal_Test,2900,3148.8298,Surplus,Surplus
Primary_Internal_Test,2664,3166.5615,Surplus,Surplus
Primary_Internal_Test,0,2889.9438,Critical_Low,Surplus
Primary_Internal_Test,1280,2539.8384,High,Surplus
Primary_Internal_Test,3200,2557.5862,Surplus,Surplus
Primary_Internal_Test,2941,2567.622,Surplus,Surplus
Primary_Internal_Test,2094,2789.8838,High,Surplus
Primary_Internal_Test,2208,2897.4114,High,Surplus
Primary_Internal_Test,3208,2918.9438,Surplus,Surplus
