Dataset,FromRegime,ToRegime,Count
Primary_Internal_Test,Critical_Low,Critical_Low,19103
Primary_Internal_Test,Critical_Low,High,15
Primary_Internal_Test,Critical_Low,Normal,425
Primary_Internal_Test,Critical_Low,Surplus,3
Primary_Internal_Test,High,Critical_Low,13
Primary_Internal_Test,High,High,6902
Primary_Internal_Test,High,Normal,617
Primary_Internal_Test,High,Surplus,706
Primary_Internal_Test,Normal,Critical_Low,428
Primary_Internal_Test,Normal,High,613
Primary_Internal_Test,Normal,Normal,6330
Primary_Internal_Test,Normal,Surplus,3
Primary_Internal_Test,Surplus,Critical_Low,3
Primary_Internal_Test,Surplus,High,708
Primary_Internal_Test,Surplus,Normal,1
Primary_Internal_Test,Surplus,Surplus,3485
UniSolar_External_Test,Critical_Low,Critical_Low,3226
UniSolar_External_Test,Critical_Low,High,1
UniSolar_External_Test,Critical_Low,Low,907
UniSolar_External_Test,Critical_Low,Normal,2
UniSolar_External_Test,High,Critical_Low,1
UniSolar_External_Test,High,High,5882
UniSolar_External_Test,High,Low,3
UniSolar_External_Test,High,Normal,1439
UniSolar_External_Test,High,Surplus,947
UniSolar_External_Test,Low,Critical_Low,906
UniSolar_External_Test,Low,High,2
UniSolar_External_Test,Low,Low,6287
UniSolar_External_Test,Low,Normal,1072
UniSolar_External_Test,Low,Surplus,5
UniSolar_External_Test,Normal,Critical_Low,3
UniSolar_External_Test,Normal,High,1441
UniSolar_External_Test,Normal,Low,1071
UniSolar_External_Test,Normal,Normal,13962
UniSolar_External_Test,Normal,Surplus,67
UniSolar_External_Test,Surplus,High,946
UniSolar_External_Test,Surplus,Low,4
UniSolar_External_Test,Surplus,Normal,69
UniSolar_External_Test,Surplus,Surplus,3118
